"Indicators","Currency","Year","Value"
"Budget revenues total","mln.$US",2005,2172.7
"Budget revenues total","mln.AZN",2005,2055.2
"Budget expenses total","mln.$US",2005,2173.9
"Budget expenses total","mln.AZN",2005,2140.6
"Total social expenses","mln.AZN",2005,767.2
"Total social expenses","mln.$US",2005,811.5
"Social protection expenses","mln.AZN",2005,302.9
"Social protection expenses","mln.$US",2005,320.4
"Education expenses","mln.AZN",2005,353.4
"Education expenses","mln.$US",2005,373.8
"Health expenses","mln.AZN",2005,110.9
"Health expenses","mln.$US",2005,117.3
"Infrastructure-industrial","mln.AZN",2005,155.1
"Infrastructure-industrial","mln.$US",2005,164.1
"Oil revenues of SOFAZ-total","mln.$US",2005,705
"Oil revenues of SOFAZ-total","mln.AZN",2005,660
"Budget expenses of SOFAZ-total","mln.AZN",2005,233
"Budget expenses of SOFAZ-total","mln.$US",2005,246.5
"SOFAZ transfers to state budget","mln.AZN",2005,150
"SOFAZ transfers to state budget","mln.$US",2005,158.7
"Oil money in budget","mln.AZN",2005,514.4
"Oil money in budget","mln.$US",2005,544.1
"Oil price for Azeri light","$US/barrel",2005,51.6
"State budget revenues without SOFAZ transfers","mln.AZN",2005,1905.2
"State budget revenues without SOFAZ transfers","mln.$US",2005,2015.2
"Non-oil revenues of state budget","mln.AZN",2005,1363.1
"Non-oil revenues of state budget","mln.$US",2005,1441.8
"State budget current expenses","mln.AZN",2005,NA
"State budget current expenses","mln.$US",2005,NA
"Average salary level","AZN",2005,123.6
"Average salary level","$US",2005,130.7
"Budget revenues total","mln.$US",2006,4333
"Budget revenues total","mln.AZN",2006,3868.8
"Budget expenses total","mln.$US",2006,4333.8
"Budget expenses total","mln.AZN",2006,3790.1
"Total social expenses","mln.AZN",2006,982.5
"Total social expenses","mln.$US",2006,1100.6
"Social protection expenses","mln.AZN",2006,341.5
"Social protection expenses","mln.$US",2006,382.5
"Education expenses","mln.AZN",2006,479.1
"Education expenses","mln.$US",2006,536.7
"Health expenses","mln.AZN",2006,161.9
"Health expenses","mln.$US",2006,181.4
"Infrastructure-industrial","mln.AZN",2006,908.9
"Infrastructure-industrial","mln.$US",2006,1018.1
"Oil revenues of SOFAZ-total","mln.$US",2006,1106.9
"Oil revenues of SOFAZ-total","mln.AZN",2006,985.9
"Budget expenses of SOFAZ-total","mln.AZN",2006,981.4
"Budget expenses of SOFAZ-total","mln.$US",2006,1099.4
"SOFAZ transfers to state budget","mln.AZN",2006,585
"SOFAZ transfers to state budget","mln.$US",2006,655.3
"Oil money in budget","mln.AZN",2006,692.1
"Oil money in budget","mln.$US",2006,775.3
"Oil price for Azeri light","$US/barrel",2006,58.9
"State budget revenues without SOFAZ transfers","mln.AZN",2006,3283.8
"State budget revenues without SOFAZ transfers","mln.$US",2006,3678.5
"Non-oil revenues of state budget","mln.AZN",2006,1611
"Non-oil revenues of state budget","mln.$US",2006,1804.6
"State budget current expenses","mln.AZN",2006,NA
"State budget current expenses","mln.$US",2006,NA
"Average salary level","AZN",2006,149
"Average salary level","$US",2006,166.9
"Budget revenues total","mln.$US",2007,7001.5
"Budget revenues total","mln.AZN",2007,6006.6
"Budget expenses total","mln.$US",2007,7001.5
"Budget expenses total","mln.AZN",2007,6086.2
"Total social expenses","mln.AZN",2007,1574.9
"Total social expenses","mln.$US",2007,1835.8
"Social protection expenses","mln.AZN",2007,594.8
"Social protection expenses","mln.$US",2007,693.3
"Education expenses","mln.AZN",2007,722.9
"Education expenses","mln.$US",2007,842.6
"Health expenses","mln.AZN",2007,257.2
"Health expenses","mln.$US",2007,299.8
"Infrastructure-industrial","mln.AZN",2007,1930.9
"Infrastructure-industrial","mln.$US",2007,2250.7
"Oil revenues of SOFAZ-total","mln.$US",2007,2185.5
"Oil revenues of SOFAZ-total","mln.AZN",2007,1886.2
"Budget expenses of SOFAZ-total","mln.AZN",2007,1061.2
"Budget expenses of SOFAZ-total","mln.$US",2007,1237
"SOFAZ transfers to state budget","mln.AZN",2007,585
"SOFAZ transfers to state budget","mln.$US",2007,681.9
"Oil money in budget","mln.AZN",2007,2257.8
"Oil money in budget","mln.$US",2007,2631.8
"Oil price for Azeri light","$US/barrel",2007,72.4
"State budget revenues without SOFAZ transfers","mln.AZN",2007,5421.6
"State budget revenues without SOFAZ transfers","mln.$US",2007,6319.6
"Non-oil revenues of state budget","mln.AZN",2007,2323.2
"Non-oil revenues of state budget","mln.$US",2007,2708
"State budget current expenses","mln.AZN",2007,3135.2
"State budget current expenses","mln.$US",2007,3654.5
"Average salary level","AZN",2007,215.8
"Average salary level","$US",2007,251.5
"Budget revenues total","mln.$US",2008,13099.7
"Budget revenues total","mln.AZN",2008,10762.7
"Budget expenses total","mln.$US",2008,13099.7
"Budget expenses total","mln.AZN",2008,10774.2
"Total social expenses","mln.AZN",2008,2172.3
"Total social expenses","mln.$US",2008,2644
"Social protection expenses","mln.AZN",2008,846.4
"Social protection expenses","mln.$US",2008,1030.2
"Education expenses","mln.AZN",2008,979.7
"Education expenses","mln.$US",2008,1192.4
"Health expenses","mln.AZN",2008,346.2
"Health expenses","mln.$US",2008,421.4
"Infrastructure-industrial","mln.AZN",2008,4292
"Infrastructure-industrial","mln.$US",2008,5224
"Oil revenues of SOFAZ-total","mln.$US",2008,14532.2
"Oil revenues of SOFAZ-total","mln.AZN",2008,11864.7
"Budget expenses of SOFAZ-total","mln.AZN",2008,4291.8
"Budget expenses of SOFAZ-total","mln.$US",2008,5223.7
"SOFAZ transfers to state budget","mln.AZN",2008,3800
"SOFAZ transfers to state budget","mln.$US",2008,4625.1
"Oil money in budget","mln.AZN",2008,3683.4
"Oil money in budget","mln.$US",2008,4483.2
"Oil price for Azeri light","$US/barrel",2008,101
"State budget revenues without SOFAZ transfers","mln.AZN",2008,6962.67
"State budget revenues without SOFAZ transfers","mln.$US",2008,8474.5
"Non-oil revenues of state budget","mln.AZN",2008,3412.1
"Non-oil revenues of state budget","mln.$US",2008,4153
"State budget current expenses","mln.AZN",2008,5521.4
"State budget current expenses","mln.$US",2008,6720.3
"Average salary level","AZN",2008,274.4
"Average salary level","$US",2008,334
"Budget revenues total","mln.$US",2009,12846.4
"Budget revenues total","mln.AZN",2009,10325.9
"Budget expenses total","mln.$US",2009,12846.4
"Budget expenses total","mln.AZN",2009,10503.9
"Total social expenses","mln.AZN",2009,2604.6
"Total social expenses","mln.$US",2009,3240.4
"Social protection expenses","mln.AZN",2009,1054.4
"Social protection expenses","mln.$US",2009,1311.8
"Education expenses","mln.AZN",2009,1147.9
"Education expenses","mln.$US",2009,1428.1
"Health expenses","mln.AZN",2009,402.3
"Health expenses","mln.$US",2009,500.5
"Infrastructure-industrial","mln.AZN",2009,3567.3
"Infrastructure-industrial","mln.$US",2009,4438
"Oil revenues of SOFAZ-total","mln.$US",2009,10172.1
"Oil revenues of SOFAZ-total","mln.AZN",2009,8176.7
"Budget expenses of SOFAZ-total","mln.AZN",2009,5294.5
"Budget expenses of SOFAZ-total","mln.$US",2009,6586.8
"SOFAZ transfers to state budget","mln.AZN",2009,4915
"SOFAZ transfers to state budget","mln.$US",2009,6114.7
"Oil money in budget","mln.AZN",2009,7350.6
"Oil money in budget","mln.$US",2009,9144.8
"Oil price for Azeri light","$US/barrel",2009,61.7
"State budget revenues without SOFAZ transfers","mln.AZN",2009,5410.9
"State budget revenues without SOFAZ transfers","mln.$US",2009,6731.6
"Non-oil revenues of state budget","mln.AZN",2009,3549.8
"Non-oil revenues of state budget","mln.$US",2009,4416.3
"State budget current expenses","mln.AZN",2009,5812.3
"State budget current expenses","mln.$US",2009,7231
"Average salary level","AZN",2009,298
"Average salary level","$US",2009,370.7
"Budget revenues total","mln.$US",2010,14207.6
"Budget revenues total","mln.AZN",2010,11403
"Budget expenses total","mln.$US",2010,14207.6
"Budget expenses total","mln.AZN",2010,11765.9
"Total social expenses","mln.AZN",2010,2732.8
"Total social expenses","mln.$US",2010,3404.9
"Social protection expenses","mln.AZN",2010,1122.9
"Social protection expenses","mln.$US",2010,1399.1
"Education expenses","mln.AZN",2010,1180.8
"Education expenses","mln.$US",2010,1471.2
