"","Company","Project","Country","V1","ProComp"
"1","BP P.L.C.","Azeri-Chirag-Deepwater Guneshli - PSA","Azerbaijan",7352442105,"BP P.L.C. Azeri-Chirag-Deepwater Guneshli - PSA"
"2","Total Sa","Abu Dhabi Company for Onshore Oil Operation (ADCO)","United Arab Emirates",4822274000,"Total Sa Abu Dhabi Company for Onshore Oil Operation (ADCO)"
"3","Abu Dhabi Marine Areas Limited","Abu Dhabi Marine Areas","United Arab Emirates",4180617326,"Abu Dhabi Marine Areas Limited Abu Dhabi Marine Areas"
"4","ROYAL DUTCH SHELL PLC","SARAWAK OIL AND GAS","Malaysia",3611472366,"ROYAL DUTCH SHELL PLC SARAWAK OIL AND GAS"
"5","Rio Tinto PLC","PILBARA","Australia",3043228512,"Rio Tinto PLC PILBARA"
"6","ROYAL DUTCH SHELL PLC","ORMEN LANGE AND DRAUGEN","Norway",3011536119,"ROYAL DUTCH SHELL PLC ORMEN LANGE AND DRAUGEN"
"7","Total Sa","Block 17","Angola",2215288000,"Total Sa Block 17"
"8","ROYAL DUTCH SHELL PLC","Block 6","Oman",2089920954,"ROYAL DUTCH SHELL PLC Block 6"
"9","ROYAL DUTCH SHELL PLC","EA","Nigeria",1592115125,"ROYAL DUTCH SHELL PLC EA"
"10","BP P.L.C.","Block 31","Angola",1487329067,"BP P.L.C. Block 31"
"11","Total Sa","Abu Dhabi Marine Areas Ltd (ADMA)","United Arab Emirates",1433960000,"Total Sa Abu Dhabi Marine Areas Ltd (ADMA)"
"12","ROYAL DUTCH SHELL PLC","MAJNOON","Iraq",1351636268,"ROYAL DUTCH SHELL PLC MAJNOON"
"13","Genel Energy Plc","Taq Taq","Iraq",1333920000,"Genel Energy Plc Taq Taq"
"14","Vedanta Resources","CIL-RJ-ON-90/1","India",1293450000,"Vedanta Resources CIL-RJ-ON-90/1"
"15","Total Sa","Mahakam PSC","Indonesia",1242139000,"Total Sa Mahakam PSC"
"16","ROYAL DUTCH SHELL PLC","PSC 1993 (OPL212/OML118, OPL219/OML135)","Nigeria",1205626770,"ROYAL DUTCH SHELL PLC PSC 1993 (OPL212/OML118, OPL219/OML135)"
"17","ROYAL DUTCH SHELL PLC","A/S NORSKE SHELL","Norway",1137352447,"ROYAL DUTCH SHELL PLC A/S NORSKE SHELL"
"18","BP P.L.C.","ADMA Concession","United Arab Emirates",1059269409,"BP P.L.C. ADMA Concession"
"19","ROYAL DUTCH SHELL PLC","PEARL GTL","Qatar",989657810,"ROYAL DUTCH SHELL PLC PEARL GTL"
"20","BP P.L.C.","Shah Deniz","Azerbaijan",904205464,"BP P.L.C. Shah Deniz"
"21","ROYAL DUTCH SHELL PLC","THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED","Nigeria",849098369,"ROYAL DUTCH SHELL PLC THE SHELL PETROLEUM DEVELOPMENT COMPANY OF NIGERIA LIMITED"
"22","BP P.L.C.","Tangguh","Indonesia",845757884,"BP P.L.C. Tangguh"
"23","Total Sa","Non-attributable","Norway",837188000,"Total Sa Non-attributable"
"24","ROYAL DUTCH SHELL PLC","SPDC WEST","Nigeria",798332523,"ROYAL DUTCH SHELL PLC SPDC WEST"
"25","ROYAL DUTCH SHELL PLC","SABAH INBOARD AND DEEPWATER OIL","Malaysia",796446207,"ROYAL DUTCH SHELL PLC SABAH INBOARD AND DEEPWATER OIL"
"26","BP P.L.C.","Block 18","Angola",779433072,"BP P.L.C. Block 18"
"27","ROYAL DUTCH SHELL PLC","Shell Australia Pty Ltd","Australia",757694007,"ROYAL DUTCH SHELL PLC Shell Australia Pty Ltd"
"28","Seplat Petroleum","OML 4, 38 and 41","Nigeria",686013500,"Seplat Petroleum OML 4, 38 and 41"
"29","Total Sa","Dolphin","Qatar",600116000,"Total Sa Dolphin"
"30","ROYAL DUTCH SHELL PLC","SHELL OLIE - OG GASUDVINDING DANMARK B.V.","Denmark",576148422,"ROYAL DUTCH SHELL PLC SHELL OLIE - OG GASUDVINDING DANMARK B.V."
"31","BP P.L.C.","BPTT Blocks","Trinidad and Tobago",537456862,"BP P.L.C. BPTT Blocks"
"32","ROYAL DUTCH SHELL PLC","SC 38 MALAMPAYA GAS","Philippines",486917661,"ROYAL DUTCH SHELL PLC SC 38 MALAMPAYA GAS"
"33","BP P.L.C.","Gulf of Mexico - Central","United States of America",457784898,"BP P.L.C. Gulf of Mexico - Central"
"34","BG Group Ltd","WDDM","Egypt",440795000,"BG Group Ltd WDDM"
"35","ROYAL DUTCH SHELL PLC","CHANGBEI","China",439228048,"ROYAL DUTCH SHELL PLC CHANGBEI"
"36","ROYAL DUTCH SHELL PLC","SPDC SHALLOW WATER","Nigeria",417866579,"ROYAL DUTCH SHELL PLC SPDC SHALLOW WATER"
"37","Total Sa","Bongkot","Thailand",397769000,"Total Sa Bongkot"
"38","BG Group Ltd","Corporate","United Kingdom of Great Britain and Northern Ireland",3.95e+08,"BG Group Ltd Corporate"
"39","Total Sa","Abu Dhabi Gas Industries Ltd (GASCO)","United Arab Emirates",365618000,"Total Sa Abu Dhabi Gas Industries Ltd (GASCO)"
