"","Company","Country","Project","Payment_type","V1"
"1","Total Sa","Angola","Block 17","Production Entitlements",1535173000
"2","Total Sa","Indonesia","Mahakam PSC","Production Entitlements",841410000
"3","Total Sa","Norway","Non-attributable","Tax",837188000
"4","Total Sa","Angola","Block 17","Tax",660639000
"5","Vedanta Resources","India","CIL-RJ-ON-90/1","Tax",571140000
"6","Total Sa","Qatar","Dolphin","Production Entitlements",541120000
"7","Total Sa","Thailand","Bongkot","Tax",360417000
"8","Vedanta Resources","India","Hindustan Zinc Ltd","Tax",355010000
"9","Total Sa","Oman","Block 6","Tax",250033000
"10","Total Sa","Gabon","Concession Fields (Non-attributable)","Tax",115754000
"11","Vedanta Resources","India","HZL-RA Mines","Royalties",112450000
"12","Total Sa","Nigeria","OML130 PSA (Akpo & Egina)","Tax",108594000
"13","Total Sa","Congo","CPP Pointe Noire Grands Fonds (PNGF)","Tax",101602000
"14","Total Sa","Algeria","Tin Fouyé Tabenkort","Tax",96226000
"15","Total Sa","Congo","CPP Haute Mer - Zone A","Tax",95539000
"16","Total Sa","Congo","Kombi, Likalala & Libondo","Tax",77287000
"17","Total Sa","Gabon","Concession Fields (Non-attributable)","Infrastructure",62688000
"18","Randgold Resources","Mali","Société des Mines de Gounkoto SA","Tax",46299978
"19","Total Sa","Nigeria","Joint ventures with NNPC, operated - non-attributable","Infrastructure",46122000
"20","Total Sa","Argentina","Tierra del Fuego","Tax",45704000
"21","Total Sa","United Kingdom of Great Britain and Northern Ireland","Central Graben Area","Tax",44778000
"22","Total Sa","United Arab Emirates","Abu Al Bukhoosh","Tax",44240000
"23","Total Sa","Bolivia, Plurinational State of","Itau","Tax",43005000
"24","Total Sa","Myanmar","Blocks M5 and M6","Tax",39037000
"25","Premier Oil Plc","Indonesia","Corporate","Tax",34616000
"26","Total Sa","Angola","Block 14","Production Entitlements",112476000
"27","Total Sa","Gabon","Rabi CEPP","Tax",33253000
"28","Total Sa","United Kingdom of Great Britain and Northern Ireland","Alwyn North","Tax",31902000
"29","Vedanta Resources","Zambia","KCM","Royalties",53280000
"30","Gem Diamonds Ltd","Lesotho","Letšeng Diamonds (Proprietary) Limited","Tax",30735000
"31","Total Sa","Russian Federation","Kharyaga","Production Entitlements",70973000
"32","Total Sa","Nigeria","OML102 (joint venture with NNPC, operated)","Tax",29361000
"33","Total Sa","Congo","Madingo","Tax",28914000
"34","Total Sa","Bolivia, Plurinational State of","San Antonio","Production Entitlements",63698000
"35","Vedanta Resources","India","VEDL-AL-JS","Royalties",28020000
"36","Total Sa","Angola","Block 14","Tax",27100000
"37","Polymetal Intl Plc","Russian Federation","Dukat","Tax",52896000
"38","Total Sa","Argentina","Neuquen","Tax",25310000
"39","Total Sa","Qatar","Dolphin","Tax",58996000
"40","Genel Energy Plc","Iraq","Bina Bawi","Fees",2.5e+07
"41","Total Sa","Bolivia, Plurinational State of","Non-attributable","Tax",24464000
"42","Total Sa","Nigeria","OML100 (joint venture with NNPC, operated)","Tax",23770000
"43","Petropavlovsk Plc","Russian Federation","JSC Pokrovskiy Rudnik","Tax",23060000
"44","Ophir Energy Plc","Thailand","Bualuang","Royalties",22131000
"45","Total Sa","Kazakhstan","Kashagan","Bonuses",20172000
"46","Acacia Mining","Tanzania, United Republic of","Bulyanhulu gold mine","Tax",31234000
"47","Total Sa","Qatar","Qatargas 1","Production Entitlements",62245000
"48","Total Sa","United States of America","Tahiti","Royalties",20037000
"49","Vedanta Resources","India","CIL-CB-OS/2","Production Entitlements",62200000
"50","Total Sa","Angola","Block 17","Fees",19476000
"51","Gem Diamonds Ltd","Lesotho","Letšeng Diamonds (Proprietary) Limited","Royalties",19273000
"52","Polymetal Intl Plc","Russian Federation","Omolon","Tax",18250000
"53","Randgold Resources","Mali","Société des Mines de Gounkoto SA","Royalties",18223166
"54","Total Sa","Gabon","Baudroie Mérou CEPP","Tax",18009000
"55","Premier Oil Plc","United Kingdom of Great Britain and Northern Ireland","Wytch Farm","Tax",17363000
"56","Petropavlovsk Plc","Russian Federation","Albyn","Tax",17135000
"57","Acacia Mining","Tanzania, United Republic of","North Mara gold mine","Royalties",16956000
"58","Total Sa","China","Sulige","Production Entitlements",16833000
"59","Total Sa","Gabon","Avocette CEPP","Tax",16593000
"60","Polymetal Intl Plc","Russian Federation","Albazino","Royalties",16498000
"61","Total Sa","Indonesia","Tengah PSC","Production Entitlements",16201000
"62","Total Sa","Nigeria","Joint ventures with NNPC, operated - non-attributable","Tax",16158000
"63","Total Sa","Nigeria","OML102 Ekanga (joint venture with NNPC, non operated)","Tax",15429000
"64","Total Sa","Congo","Litanzi & Tchibeli","Tax",14990000
"65","Jardine Matheson Holdings Ltd","Indonesia","Kapuas, Central Kalimantan Project","Royalties",13776103
"66","Total Sa","Oman","Block 53","Production Entitlements",13437000
"67","Polymetal Intl Plc","Russian Federation","Omolon","Royalties",13304000
"68","Premier Oil Plc","Viet Nam","Corporate","Royalties",10955000
"69","Randgold Resources","Mali","Société des Mines de Gounkoto SA","Dividends",10256728
"70","Total Sa","Netherlands","Non-attributable","Tax",10172000
"71","Total Sa","Cyprus","Block 10","Fees",8614000
"72","Total Sa","United Kingdom of Great Britain and Northern Ireland","Non-attributable","Tax",8179000
"73","Acacia Mining","Tanzania, United Republic of","Buzwagi gold mine","Tax",19647000
"74","Randgold Resources","Cote d'Ivoire","Société des Mines de Tongon SA","Royalties",7583572
"75","Total Sa","China","Sulige","Tax",7313000
"76","Vedanta Resources","India","VEDL-IO-Gadia Sodo","Royalties",7110000
"77","Seplat Petroleum","Nigeria","OML 4, 38 and 41","Fees",5950095
"78","Polymetal Intl Plc","Russian Federation","Voro","Tax",25648000
"79","Total Sa","Gabon","Mboga CEPP","Tax",5795000
"80","Total Sa","Angola","Block 40","Infrastructure",5714000
"81","Total Sa","Nigeria","OML118 (Bonga)","Tax",92383000
"82","Premier Oil Plc","Viet Nam","Corporate","Tax",36685000
"83","Total Sa","Yemen","Block 10","Tax",5147000
"84","Total Sa","Congo","CPP Haute Mer - Zone D","Tax",92369000
"85","Total Sa","Angola","Block 25","Infrastructure",5e+06
"86","Exillon Energy Plc","Russian Federation","Kayumovskoe oil field","Royalties",26262000
"87","Exillon Energy Plc","Russian Federation","Kayumneft JSC","Tax",4946000
"88","Polymetal Intl Plc","Russian Federation","Dukat","Royalties",25676000
"89","Gem Diamonds Ltd","Australia","Gem Diamonds Australia Holdings (Proprietary) Limited","Other",4934000
"90","Total Sa","Nigeria","OML138 (Usan)","Tax",32028000
"91","Polymetal Intl Plc","Russian Federation","Okhotsk","Tax",4552000
"92","Petropavlovsk Plc","Russian Federation","Malomyr","Tax",4360000
"93","Ophir Energy Plc","Thailand","Bualuang","Tax",81659000
"94","Acacia Mining","United Kingdom of Great Britain and Northern Ireland","London corporate office","Tax",4049000
"95","Total Sa","Bolivia, Plurinational State of","San Alberto","Tax",35401000
"96","Total Sa","Congo","CPP Haute Mer - Zone D","Fees",4344000
"97","Total Sa","Gabon","Concession Torpille","Tax",38446000
"98","Total Sa","United Kingdom of Great Britain and Northern Ireland","Greater Laggan Area","Fees",4259000
"99","Total Sa","United States of America","Barnett Shale","Royalties",4089000
"100","Total Sa","United States of America","Utica","Tax",4070000
"101","Total Sa","Nigeria","Joint ventures with NNPC, non operated - non-attributable","Tax",132899000
"102","Petropavlovsk Plc","Russian Federation","Pokrovskiy","Tax",3898000
"103","Total Sa","Iraq","Halfaya","Tax",3892000
"104","Vedanta Resources","India","VED-IO-A Narayan","Royalties",3860000
